state  n_s  y_s  a_post  b_post  post_mean  post_var
Alabama         78    2       4      78   0.048780  0.000559
California     656    6       8     652   0.012121  0.000018
Delaware        16    1       3      17   0.150000  0.006071
Florida        320    2       4     320   0.012346  0.000038
Illinois       236    5       7     233   0.029167  0.000117
Indiana        102    2       4     102   0.037736  0.000339
Iowa            75    1       3      76   0.037975  0.000457
Maryland        77    1       3      78   0.037037  0.000435
Massachusetts  144    3       5     143   0.033784  0.000219
Michigan       154    2       4     154   0.025316  0.000155
Missouri       137    3       5     136   0.035461  0.000241
Nebraska        40    1       3      41   0.068182  0.001412
Nevada          35    1       3      36   0.076923  0.001775
New Hampshire   34    1       3      35   0.078947  0.001864
New Jersey     144    1       3     145   0.020270  0.000133
New York       413    7       9     408   0.021583  0.000051
Ohio           274    4       6     272   0.021583  0.000076
Oklahoma        93    1       3      94   0.030928  0.000306
Oregon          73    2       4      73   0.051948  0.000631
Pennsylvania   289    4       6     287   0.020478  0.000068
South Dakota    29    1       3      30   0.090909  0.002431
Tennessee      146    1       3     147   0.020000  0.000130
Texas          384    1       3     385   0.007732  0.000020
Utah            58    1       3      59   0.048387  0.000731
Vermont         19    1       3      20   0.130435  0.004726
Virginia       138    1       3     139   0.021127  0.000145
West Virginia   69    2       4      69   0.054795  0.000700
Wisconsin       88    7       9      83   0.097826  0.000949
