name,closure year,state,type,size,reason for closure,Ref
UW Marinette,2024,Wisconsin,"Public nonprofit, two-year",173,Financial; diminishing enrollment rates,https://badgerherald.com/opinion/2024/02/13/three-uw-branch-campuses-set-to-shut-down-diminish-access-to-higher-education/
UW Fond du Lac,2024,Wisconsin,"Public nonprofit, two-year",245,Financial; diminishing enrollment rates,https://badgerherald.com/opinion/2024/02/13/three-uw-branch-campuses-set-to-shut-down-diminish-access-to-higher-education/
UW Washington,2024,Wisconsin,"Public nonprofit, two-year",279,Finanial; diminishing enrollment rates,https://badgerherald.com/opinion/2024/02/13/three-uw-branch-campuses-set-to-shut-down-diminish-access-to-higher-education/
Salus University,2024,Pennsylvania,Private nonprofit,"1,100",Mutual Benefit; merging with Drexel University,
Lincoln Christian University,2024,Illinois,Private nonprofit,593,"Financial, merging with Ozark Christian College",
Woodbury University,2024,California,Private nonprofit,943,"Mutual Benefit, Financial, merging with the University of Redlands",
Johnson University Florida,2024,Florida,Private nonprofit,142,"Enrollment, Financial",
Cabrini University,2024,Pennsylvania,Private nonprofit,"2,267",Financial,
The College of Saint Rose,2024,New York,Private nonprofit,"2,786",Financial,
Magdalen College,2024,New Hampshire,Private nonprofit,59,Enrollment,
Hodges University,2024,Florida,Private nonprofit,443,Financial,
St. John's University,2024,Staten Island,Private nonprofit,861,Enrollment,
St. Augustine College,2024,Illinois,Private nonprofit,"1,163",Mutual Benefit; merging with Lewis University,
Indiana University-Purdue University Indianapolis,2024,Indiana,Public nonprofit,"27,690",Mutual Benefit; separating into different institutions,
Pennsylvania College of Health Sciences,2024,Pennsylvania,Private nonprofit,"1,816",Mutual Benefit; merging with Saint Joseph's University,
Alderson Broaddus University,2023,West Virginia,Private nonprofit,767,Financial,
Alliance University (Formerly Nyack College),2023,New York,Private nonprofit,"2,479",Accreditation Issues,
American University of Puerto Rico,2023,Puerto Rico,Private nonprofit,398,Financial,
Multnomah University,2023,Oregon,Private nonprofit,655,Financial; merging with Jessup University,
Compass College of Film and Media,2023,Michigan,Private nonprofit,74,Mutual Benefit; merging with Calvin University,
Medaille University,2023,New York,Private nonprofit,"2,937","Enrollment, Financial",
Presentation College,2023,South Dakota,Private nonprofit,577,Financial,
Bloomfield College,2023,New Jersey,Private nonprofit,"1,300",Financial,
Presidio Graduate School,2023,California,"Private nonprofit, graduate school",152,Financial; merging with the University of Redlands,
Cardinal Stritch University,2023,Wisconsin,Private nonprofit,"1,365","Enrollment, Financial, Pandemic",
Holy Names University,2023,California,Private nonprofit,"1,015","Enrollment, Financial",
Iowa Wesleyan University,2023,Iowa,Private nonprofit,921,Financial,
Finlandia University,2023,Michigan,Private nonprofit,424,"Enrollment, Financial",
Cazenovia College,2023,New York,Private nonprofit,746,"Enrollment, Financial, Pandemic",
Chatfield College,2023,Ohio,"Private nonprofit, two-year",152,"Enrollment, Pandemic; closing to become Chatfield Edge nonprofit agency",
Marymount California University,2022,California,Private nonprofit,514,"Enrollment, Financial, Pandemic; failed merger with Saint Leo University in Florida[3]",
San Francisco Art Institute,2022,California,Private nonprofit,70,Financial,
Mills College,2022,California,Private nonprofit,817,Financial; merged with Northeastern University,
Sierra Nevada University,2022,Nevada,Private nonprofit,631,"Enrollment, Pandemic; merged with University of Nevada, Reno[4]",
Wave Leadership College,2022,Virginia,Private nonprofit,33,"Enrollment, Pandemic",
University of the Sciences,2022,Pennsylvania,Private nonprofit,"2,420",Mutual Benefit; merged with Saint Joseph's University,
St. Louis Christian College,2022,Missouri,Private nonprofit,62,Enrollment; merged with Central Christian College of the Bible,
Lincoln College,2022,Illinois,Private nonprofit,888,"Pandemic, Enrollment, Financial",
Ohio Valley University,2021,West Virginia,Private nonprofit,273,Financial,
Becker College,2021,Massachusetts,Private nonprofit,"1,675","Pandemic, Enrollment[6]",
Concordia College,2021,New York,Private nonprofit,"1,129","Financial, Pandemic; merged with Iona College in New Rochelle",
Independence University,2021,Utah,Private nonprofit,"11,578",Unclear; sudden closure,
Judson College,2021,Alabama,Private nonprofit,"Roughly 80, per school website",Financial,
Ancilla College,2021,Indiana,"Private nonprofit, two-year",344,Mutual Benefit; merged with Marian University,
Martin Methodist College,2021,Tennessee,"Private, nonprofit",885,Mutual Benefit; merged with public University of Tennessee to become UT Southern,
Wesley College,2021,Delaware,Private nonprofit,"1,066","Enrollment, Financial; merged with Delaware State University",
Pacific Northwest College of Art,2021,Oregon,Private nonprofit,481,Mutual Benefit; merged with Willamette University,
Holy Family College,2020,Wisconsin,Private nonprofit,440,"Enrollment, Financial, Pandemic",
Marlboro College,2020,Vermont,Private nonprofit,154,Enrollment; merged with Emerson College[7],
Pine Manor College,2020,Massachusetts,Private nonprofit,249,Financial; merged with Boston College,
Nebraska Christian College,2020,Nebraska,Private nonprofit,"85, per college website","Enrollment, Financial",
MacMurray College,2020,Illinois,Private nonprofit,588,Financial,
Urbana University,2020,Ohio,Private nonprofit,"1,254","Financial, Pandemic}",
