index,uid,name,year_established,state,state_abbr,zip,location_type,location_type_kind,public_private,type,level,has_undergrad,has_grad,total_enrollment,has_religion_affiliation,religion_affiliation,has_special_demographic,special_demographic,carnegie_classification,carnegie_classification_2,year_closed,is_merged,merging_institution,merging_institution_population,merging_institution_type,merging_institution_zip,merging_institution_location_type,merging_institution_religious_affiliation,reason_financial,reason_enrollment,reason_pandemic,reason_mutual_benefit,reason_for_closure,endowment_median_2018,endowment_median_2019,endowment_median_2020,endowment_median_2021,endowment_median_2022,endowment_median_2023,endowment_median_2024
0,237118.0,Alderson Broaddus University,1871,West Virginia,WV,26416,Rural,Distant,Private,Nonprofit,4-year,,,767.0,1,Baptist,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,0,0,0,Financial,18150386.0,17367369.0,18456342.0,18685108.0,16256321.0,0.0,0.0
1,194161.0,Alliance University (Formerly Nyack College),1882,New York,NY,10004,City,Large,Private,Nonprofit,4-year,,,2479.0,1,Christian,0,,Master's Colleges & Universities,Larger Programs,2023,No,,,,,,,0,0,0,0,Accreditation Issues,4255808.0,4393633.0,4577611.0,3736796.0,622193.0,0.0,0.0
2,241100.0,American University of Puerto Rico,1963,Puerto Rico,PR,960,City,Midsize,Private,Nonprofit,4-year,,,2934.0,0,,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,0,0,0,Financial,,,,,,,
3,497833.0,Ancilla College,1937,Indiana,IN,46513,Rural,Distant,Private,Nonprofit,2-year,,,469.0,1,Roman Catholic,0,,Associate's Colleges,Mixed Transfer/Career & Technical-High Traditional,2021,Yes,Marian University,3701,private nonprofit,46222,City: Large,Catholic,0,0,0,1,Mutual Benefit,4110469.0,4351295.0,4394680.0,0.0,0.0,0.0,0.0
4,164720.0,Becker College,1784,Massachusetts,MA,1609,City,Midsize,Private,Nonprofit,4-year,,,1973.0,0,,0,,Baccalaureate Colleges,Diverse Fields,2021,No,,,,,,,0,1,1,0,Pandemic; Enrollment,4962182.0,5116037.0,5024459.0,0.0,0.0,0.0,0.0
5,183822.0,Bloomfield College,1868,New Jersey,NJ,7003,Suburb,Large,Private,Nonprofit,4-year,,,1737.0,1,Presbyterian,0,,Baccalaureate Colleges,Arts & Sciences Focus,2023,No,,,,,,,1,0,0,0,Financial,15133518.0,14255359.0,14209684.0,17019652.0,14833362.0,0.0,0.0
6,201371.0,Bluffton University ,1899,Ohio,OH,45817,Town,Distant,Private,Nonprofit,4-year,,,745.0,1,Mennonite,0,,Baccalaureate Colleges,Diverse Fields,2025,Yes,University of Findlay,4869,private nonprofit,45840,Town: Distant,Churches of God,0,0,0,1,Mutual benefit,25253518.0,23136427.0,21905880.0,25754825.0,23552031.0,26139206.404541,28514791.8083496
7,211352.0,Cabrini University,1957,Pennsylvania,PA,19087,Suburb,Large,Private,Nonprofit,4-year,,,1613.0,1,Roman Catholic,0,,Master's Colleges & Universities,Medium Programs,2024,No,,,,,,,1,0,0,0,Financial,45558371.0,42166174.0,41953130.0,48000292.0,39117750.0,38884764.2026367,0.0
8,238430.0,Cardinal Stritch University,1937,Wisconsin,WI,53217,Suburb,Large,Private,Nonprofit,4-year,,,2345.0,1,Roman Catholic,0,,Doctoral/Professional Universities,Mixed Transfer/Career & Technical-High Traditional,2023,No,,,,,,,1,1,1,0,"Enrollment, Financial, Pandemic",12087176.0,12481793.0,12499997.0,13653757.0,13809203.0,0.0,0.0
9,189848.0,Cazenovia College,1824,New York,NY,13035,Town,Fringe,Private,Nonprofit,4-year,,,1154.0,0,,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,1,1,0,"Enrollment, Financial, Pandemic",7668092.0,4013265.0,4104798.0,4150188.0,3841688.0,0.0,0.0
10,201751.0,Chatfield College,1971,Ohio,OH,49503,City,Midsize,Private,Nonprofit,2-year,,,358.0,1,Roman Catholic,0,,Associate's Colleges,High Transfer-High Nontraditional,2023,No,,,,,,,0,1,1,0,"Enrollment, Pandemic, closing to become Chatfield Edge nonprofit agency",4771003.0,5042892.0,5145354.0,6042022.0,4705167.0,0.0,0.0
11,459417.0,Compass College of Film and Media,1997,Michigan,MI,49503,City,Midsize,Private,Nonprofit,4-year,,,114.0,1,Christian,0,,Special Focus Four-Year,"Arts, Music & Design Schools",2023,Yes,Calvin University,3231,private nonprofit,49546,City: Midsize,Christian Reformed Church,0,0,0,1,Mutual Benefit,,,,,,,
12,190248.0,Concordia College,1881,New York,NY,10708,Suburb,Large,Private,Nonprofit,4-year,,,2418.0,1,Lutheran,0,,Baccalaureate Colleges,Diverse Fields,2021,Yes,Iona University (New Rochelle),3621,private nonprofit,10801,Suburb: Large,Catholic,1,0,1,0,"Financial, Pandemic",12661592.0,13291392.0,14216528.0,0.0,0.0,0.0,0.0
13,172440.0,Finlandia University,1896,Michigan,MI,49930,Town,Remote,Private,Nonprofit,4-year,,,478.0,1,Evangelical Lutheran,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,1,0,0,"Enrollment, Financial",7958061.0,5704166.0,5786875.0,5971713.0,5971714.0,0.0,0.0
14,177418.0,Fontbonne University,1923,Missouri,MO,63105,Suburb,Large,Private,Nonprofit,4-year,,,944.0,1,Roman Catholic,0,,Master's Colleges & Universities,Medium Programs,2025,No,,,,,,,1,1,0,0,"Enrollment, Financial",14669491.0,15210260.0,15252781.0,17302502.0,14138749.0,12923061.9995117,10325215.7990722
15,367884.0,Hodges University,1990,Florida,FL,33966,City,Small,Private,Nonprofit,4-year,,,443.0,0,,1,Military/Veteran,Master's Colleges & Universities,Small Programs,2024,No,,,,,,,1,0,0,0,Financial,2826636.0,2898507.0,2955963.0,2968254.0,2923606.0,2854597.79985046,0.0
16,239743.0,Holy Family College,1935,Wisconsin,WI,54220,Town,Distant,Private,Nonprofit,4-year,,,534.0,1,Catholic,0,,Master's Colleges & Universities,Small Programs,2020,No,,,,,,,1,1,1,0,"Enrollment, Financial, Pandemic",7048441.0,7050629.0,0.0,0.0,0.0,0.0,0.0
17,115728.0,Holy Names University,1868,California,CA,94619,City,Large,Private,Nonprofit,4-year,,,1212.0,1,Roman Catholic,0,,Master's Colleges & Universities,Small Programs,2023,No,,,,,,,1,1,0,0,"Enrollment, Financial",51917540.0,54171145.0,54619996.0,65883224.0,57903967.0,0.0,0.0
18,465812.0,Independence University,1978,Utah,UT,84401,Suburb,Large,Private,Nonprofit,4-year,,,11578.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2021,No,,,,,,,0,0,0,0,"Unclear, sudden closure",,,,,,,
19,151111.0,Indiana University-Purdue University Indianapolis,1969,Indiana,IN,46202,City,Large,Public,Nonprofit,4-year,,,25979.0,0,,0,,Doctoral Universities,High Research Activity,2024,No,,,,,,,0,0,0,1,"Mutual Benefit, separating into different institutions",1177983781.0,1241294915.0,1147557403.0,2252019515.0,2180644869.0,2969128162.21875,0.0
20,153621.0,Iowa Wesleyan University,1842,Iowa,IA,52641,Town,Remote,Private,Nonprofit,4-year,,,921.0,1,United Methodist Church,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,0,0,0,Financial,17472713.0,17400996.0,17463237.0,18321843.0,18993810.0,0.0,0.0
