index,name,yearEstablished,state,stateAbbr,locationType,locationTypeKind,Public/ Private,type,level,hasUndergrad,hasGrad,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,Carnegie Classification,Carnegie Classification 2,yearClosed,isMerged,mergingInstitutionPopulation,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,EndowmentMedian2018,EndowmentMedian2019,EndowmentMedian2020,EndowmentMedian2021,EndowmentMedian2022,EndowmentMedian2023,EndowmentMedian2024,region,Births,Total Population,Birth Rate,Female Population,Fertility Rate,percentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,unemploymentRate,perCapitaPersonalIncome2018,perCapitaPersonalIncome2019,perCapitaPersonalIncome2020,perCapitaPersonalIncome2021,perCapitaPersonalIncome2022,perCapitaPersonalIncome2023,perCapitaPersonalIncome2024,highSchoolACGR,twoYearStudentShare2019,fourYearStudentShare2019,twoYearStudentShare2020,fourYearStudentShare2020,twoYearStudentShare2021,fourYearStudentShare2021,twoYearStudentShare2022,fourYearStudentShare2022,twoYearStudentShare2023,fourYearStudentShare2023,twoYearStudentShare2024,fourYearStudentShare2024,fourYearAppropriationsPerFTE2019,twoYearAppropriationsPerFTE2019,fourYearNetTuitionRevenuePerFTE2019,twoYearNetTuitionRevenuePerFTE2019,fourYearAppropriationsPerFTE2020,twoYearAppropriationsPerFTE2020,fourYearNetTuitionRevenuePerFTE2020,twoYearNetTuitionRevenuePerFTE2020,fourYearAppropriationsPerFTE2021,twoYearAppropriationsPerFTE2021,fourYearNetTuitionRevenuePerFTE2021,twoYearNetTuitionRevenuePerFTE2021,fourYearAppropriationsPerFTE2022,twoYearAppropriationsPerFTE2022,fourYearNetTuitionRevenuePerFTE2022,twoYearNetTuitionRevenuePerFTE2022,fourYearAppropriationsPerFTE2023,twoYearAppropriationsPerFTE2023,fourYearNetTuitionRevenuePerFTE2023,twoYearNetTuitionRevenuePerFTE2023,fourYearAppropriationsPerFTE2024,twoYearAppropriationsPerFTE2024,fourYearNetTuitionRevenuePerFTE2024,twoYearNetTuitionRevenuePerFTE2024,population18to24yo_2018,population18to24yoHighSchoolGrad_2018,population25yoAndOver_2018,population25yoAndOverHighSchoolGrad_2018,population18to24yoSomeCollegeOrHigher_2018,population25yoAndOverSomeCollegeOrHigher_2018,population18to24yo_2019,population18to24yoHighSchoolGrad_2019,population25yoAndOver_2019,population25yoAndOverHighSchoolGrad_2019,population18to24yoSomeCollegeOrHigher_2019,population25yoAndOverSomeCollegeOrHigher_2019,population18to24yo_2020,population18to24yoHighSchoolGrad_2020,population25yoAndOver_2020,population25yoAndOverHighSchoolGrad_2020,population18to24yoSomeCollegeOrHigher_2020,population25yoAndOverSomeCollegeOrHigher_2020,population18to24yo_2021,population18to24yoHighSchoolGrad_2021,population25yoAndOver_2021,population25yoAndOverHighSchoolGrad_2021,population18to24yoSomeCollegeOrHigher_2021,population25yoAndOverSomeCollegeOrHigher_2021,population18to24yo_2022,population18to24yoHighSchoolGrad_2022,population25yoAndOver_2022,population25yoAndOverHighSchoolGrad_2022,population18to24yoSomeCollegeOrHigher_2022,population25yoAndOverSomeCollegeOrHigher_2022,population18to24yo_2023,population18to24yoHighSchoolGrad_2023,population25yoAndOver_2023,population25yoAndOverHighSchoolGrad_2023,population18to24yoSomeCollegeOrHigher_2023,population25yoAndOverSomeCollegeOrHigher_2023
0.0,Alderson Broaddus University,1871.0,West Virginia,WV,Rural,Distant,Private,Nonprofit,4-year,,,767.0,1.0,Baptist,0.0,,Baccalaureate Colleges,Diverse Fields,2023.0,No,,,,,1.0,0.0,0.0,0.0,18150386.0,17367369.0,18456342.0,18685108.0,16256321.0,0.0,0.0,South,104440.0,10710952.0,9.75,1888053.0,55.32,0.47,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.8,41828.0,42719.0,48174.0,51918.0,51075.0,53695.0,55532.0,91.0,0.373155972190066,0.682009863354237,0.342382621157803,0.646489251277912,0.302949151032579,0.630556100805872,0.28165355172888,0.644577975141069,0.276354842717345,0.645498371338462,0.300746949548175,0.648330991754074,4595.710383596692,6167.314283134706,8027.624493252374,3576.478512098231,5257.320621209336,6901.164748527412,8026.086252527109,3528.440779338468,5488.270802448018,8153.893675721562,8034.156194168852,3491.88996179966,5781.374937683211,9242.957444367974,8701.384389893712,3594.4879559532,6000.308115853035,9304.54933575565,8615.166124245216,3526.6671965482,6171.073142176396,8837.371024734983,8627.31407386107,3774.469860735814,163597.0,59524.0,1292084.0,523536.0,84079.0,594318.0,160440.0,59165.0,1287427.0,519091.0,82395.0,599712.0,158340.0,59659.0,1283869.0,513143.0,80511.0,611695.0,156640.0,61282.0,1277914.0,512232.0,77499.0,613101.0,161654.0,64308.0,1271529.0,502333.0,79342.0,622195.0,155849.0,63691.0,1269202.0,501118.0,75699.0,623530.0
1.0,Alliance University (Formerly Nyack College),1882.0,New York,NY,City,Large,Private,Nonprofit,4-year,,,2479.0,1.0,Christian,0.0,,Master's Colleges & Universities,Larger Programs,2023.0,No,,,,,0.0,0.0,0.0,0.0,4255808.0,4393633.0,4577611.0,3736796.0,622193.0,0.0,0.0,Northeast,1279243.0,117416826.0,10.89,23255110.0,55.01,5.79,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,4.2,64953.0,66981.0,72301.0,78501.0,79182.0,82699.0,87061.0,87.0,0.319176625274596,0.338121397700166,0.320485681192228,0.333944812419416,0.316172147567204,0.323284166365586,0.30269033618776,0.318614252950784,0.297161654277955,0.324463325720936,0.305294744760275,0.299037635834988,13905.27411277699,9263.23753028816,7103.524274812894,4342.695923486541,14214.10919212851,9651.185525634386,7126.628718435063,4551.878719674939,13700.20766269627,10291.78969515402,6544.933623738598,4758.474283623391,14814.32229096918,11931.37907173214,6927.139656427767,5179.209940475806,16246.53910687995,12762.62252591281,7803.286351106238,5396.065888848378,17816.88473964304,12332.13857261348,7600.863274355621,5419.474042376715,1870478.0,492098.0,13606342.0,3556251.0,1159880.0,8210242.0,1831883.0,490373.0,13631937.0,3541274.0,1136076.0,8294069.0,1794550.0,486734.0,13649157.0,3474389.0,1115411.0,8430878.0,1816269.0,502020.0,14081080.0,3553598.0,1124221.0,8757825.0,1844128.0,527054.0,14021808.0,3494392.0,1129113.0,8786629.0,1766904.0,520830.0,13996138.0,3437438.0,1074524.0,8860163.0
3.0,Ancilla College,1937.0,Indiana,IN,Rural,Distant,Private,Nonprofit,2-year,,,469.0,1.0,Roman Catholic,0.0,,Associate's Colleges,Mixed Transfer/Career & Technical-High Traditional,2021.0,Yes,3701,private nonprofit,City: Large,Catholic,0.0,0.0,0.0,1.0,4110469.0,4351295.0,4394680.0,0.0,0.0,0.0,0.0,Midwest,479716.0,40680271.0,11.79,7927380.0,60.51,2.17,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,3.9,47188.0,48727.0,53102.0,59797.0,60165.0,61943.0,64153.0,88.0,0.382934262000274,0.657572633755372,0.377177287070132,0.667373223935557,0.36810338247564,0.683609945887111,0.340504195416424,0.684439650338261,0.353355111468034,0.688960434683166,0.363928508121728,0.675676694071124,6196.726977652039,5138.773692363056,11464.81076605917,3128.740131115735,6107.683470272581,5246.473878695209,11734.48617909352,3117.277124745158,5868.818478157552,5417.856379630102,12036.9594015063,3094.551239514743,6367.411743036074,5789.058049417471,13172.73620108249,2934.630081231875,6329.996678422279,5476.906026557712,13403.01158279161,2945.517588100102,6766.259338707245,5436.943204073639,13526.61022383849,3069.965588777183,663318.0,210738.0,4399815.0,1475931.0,348844.0,2421260.0,662719.0,215401.0,4430493.0,1480084.0,346717.0,2455019.0,659700.0,224023.0,4466180.0,1482396.0,340559.0,2507359.0,658039.0,231999.0,4501214.0,1485995.0,333089.0,2554739.0,674851.0,243838.0,4532091.0,1495818.0,334872.0,2583019.0,656377.0,244351.0,4559304.0,1496214.0,319682.0,2617439.0
4.0,Becker College,1784.0,Massachusetts,MA,City,Midsize,Private,Nonprofit,4-year,,,1973.0,0.0,,0.0,,Baccalaureate Colleges,Diverse Fields,2021.0,No,,,,,0.0,1.0,1.0,0.0,4962182.0,5116037.0,5024459.0,0.0,0.0,0.0,0.0,Northeast,409468.0,41656322.0,9.83,8419406.0,48.63,1.85,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,4.6,70234.0,72658.0,79602.0,85585.0,88976.0,90904.0,94849.0,90.0,0.321843436680273,0.438978799448067,0.320300972986176,0.43253682270684,0.276225207859441,0.399763682556682,0.232633307549778,0.382346028782863,0.197909433470372,0.430031607047201,0.142292270460623,0.378556933540217,10224.08940720903,8179.07168818651,7999.980195063694,3881.670816683066,10725.1575452152,9075.796526001704,8175.024835560542,4276.873060528559,12243.9080756922,10521.3160057334,8154.571189682181,4015.410224558051,12540.335096103,12217.4752565505,7762.837360460756,3703.824660103141,15683.12333141726,15259.62961275626,11832.65390347236,3765.191585153424,17907.35284887296,16706.94986788879,10908.40488559978,2771.654897467674,701501.0,190483.0,4748795.0,1150846.0,437305.0,3143589.0,697610.0,188360.0,4781683.0,1148525.0,437646.0,3191214.0,695702.0,192220.0,4815331.0,1133358.0,434589.0,3252179.0,699260.0,197127.0,4902868.0,1137085.0,433205.0,3332568.0,697088.0,205983.0,4920101.0,1127899.0,421962.0,3360615.0,678357.0,206559.0,4945630.0,1129802.0,408550.0,3390619.0
5.0,Bloomfield College,1868.0,New Jersey,NJ,Suburb,Large,Private,Nonprofit,4-year,,,1737.0,1.0,Presbyterian,0.0,,Baccalaureate Colleges,Arts & Sciences Focus,2023.0,No,,,,,1.0,0.0,0.0,0.0,15133518.0,14255359.0,14209684.0,17019652.0,14833362.0,0.0,0.0,Northeast,604153.0,54492751.0,11.09,10293179.0,58.69,2.74,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,4.8,65121.0,67822.0,71195.0,78329.0,78782.0,82260.0,84909.0,85.0,0.412380276697915,0.56538024912682,0.37489222551343,0.517481697051793,0.426834250301825,0.574795425134789,0.373883577468188,0.52305026810773,0.336459076292044,0.498484440966102,0.306598955610108,0.444746849100646,8550.078095676285,4634.70932094811,11122.47032969694,3252.550308295964,10230.34565529623,5350.921811291299,10971.63900059844,3209.077007610381,8047.561655567267,4623.252067667035,10878.76729589881,3442.917395706534,10632.88303876476,6079.490830321395,11660.62574795669,3630.350041984594,11764.97804173395,6281.062673130194,11693.87149904118,3184.913649823288,13344.97529568808,6595.442625589149,10689.06264551579,2916.286090355213,778901.0,219628.0,6129542.0,1683568.0,470823.0,3804861.0,770603.0,219599.0,6146379.0,1670942.0,467725.0,3849506.0,762464.0,220739.0,6169501.0,1649853.0,463681.0,3918887.0,781976.0,230051.0,6411606.0,1693560.0,473299.0,4109169.0,806499.0,242131.0,6427003.0,1674625.0,483882.0,4150637.0,776472.0,239785.0,6459220.0,1662983.0,459815.0,4195501.0
6.0,Bluffton University ,1899.0,Ohio,OH,Town,Distant,Private,Nonprofit,4-year,,,745.0,1.0,Mennonite,0.0,,Baccalaureate Colleges,Diverse Fields,2025.0,Yes,4869,private nonprofit,Town: Distant,Churches of God,0.0,0.0,0.0,1.0,25253518.0,23136427.0,21905880.0,25754825.0,23552031.0,26139206.404541,28514791.8083496,Midwest,783704.0,70393769.0,11.13,13365288.0,58.64,3.55,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,4.9,48542.0,49907.0,54936.0,60407.0,59376.0,62342.0,65011.0,86.0,0.335127232203971,0.653931990127864,0.325887420110107,0.666050771417208,0.306556218349465,0.621665949914992,0.312281462945019,0.641646110478048,0.297962103315946,0.643237315707079,0.316398625962724,0.638581010016603,5251.400115563879,6658.002238715663,9923.074166251867,3355.947138074301,5354.932404696776,6305.153275327725,10680.23685567835,3048.111243719802,6683.385569001761,6462.055922545052,10981.91726985209,2856.732555396258,6191.584518887098,6251.057747929259,11086.2648359692,2838.500568614283,6448.096648183465,7069.309839329164,11625.81335438068,3000.388495646403,6737.010510690257,7887.794682600592,11903.43367570889,3650.793421773928,1086626.0,362436.0,7937085.0,2639478.0,579754.0,4511447.0,1074610.0,365047.0,7975777.0,2634997.0,569276.0,4573402.0,1066321.0,370168.0,8014966.0,2629870.0,560424.0,4646326.0,1062481.0,376907.0,8077453.0,2636855.0,552781.0,4724847.0,1083657.0,398472.0,8097704.0,2625857.0,549296.0,4775443.0,1046523.0,394170.0,8123344.0,2624935.0,524012.0,4817855.0
7.0,Cabrini University,1957.0,Pennsylvania,PA,Suburb,Large,Private,Nonprofit,4-year,,,1613.0,1.0,Roman Catholic,0.0,,Master's Colleges & Universities,Medium Programs,2024.0,No,,,,,1.0,0.0,0.0,0.0,45558371.0,42166174.0,41953130.0,48000292.0,39117750.0,38884764.2026367,0.0,Northeast,790421.0,77290050.0,10.23,14466075.0,54.64,3.58,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,3.9,55346.0,56634.0,62463.0,66449.0,66580.0,69555.0,72220.0,87.0,0.453262236295769,0.737395242246926,0.43406383832291,0.730157593752249,0.393072926029577,0.723690207744104,0.37570067112594,0.71005516404572,0.349193171904804,0.662087812097084,0.347295920187268,0.673993635830203,4734.235453046467,5156.978819440103,13293.75266702426,4275.292301729204,4927.081093366828,5550.373798568507,13332.02488585841,4257.046497955011,5085.299947138297,6539.113322990822,13319.04217052612,4235.020182395499,5435.777832816813,7018.755710204146,13311.84984927772,4223.857224944534,6738.651359043998,7804.851010996807,13203.36790005432,4187.726008885285,6378.559406265162,7868.163744040648,13187.19177932505,4186.554446625645,1194488.0,399558.0,8921363.0,3133655.0,652406.0,4913690.0,1174907.0,399119.0,8954232.0,3106571.0,634591.0,4998751.0,1155305.0,398001.0,8989998.0,3072381.0,618774.0,5107650.0,1154671.0,408026.0,9111497.0,3079339.0,608820.0,5244782.0,1196563.0,425015.0,9128083.0,3058744.0,631016.0,5308145.0,1159561.0,418796.0,9153146.0,3039316.0,607030.0,5373094.0
8.0,Cardinal Stritch University,1937.0,Wisconsin,WI,Suburb,Large,Private,Nonprofit,4-year,,,2345.0,1.0,Roman Catholic,0.0,,Doctoral/Professional Universities,Mixed Transfer/Career & Technical-High Traditional,2023.0,No,,,,,1.0,1.0,1.0,0.0,12087176.0,12481793.0,12499997.0,13653757.0,13809203.0,0.0,0.0,Midwest,369546.0,35168059.0,10.51,6601801.0,55.98,1.67,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,3.3,51204.0,52932.0,57292.0,62713.0,62898.0,65848.0,68347.0,90.0,0.197554155670833,0.621340722207562,0.168298403058561,0.624332641243851,0.157908117818982,0.601071384139845,0.151027906170747,0.595107790037407,0.145174194789221,0.613409556957027,0.150049152517013,0.605136240792512,5142.666671511628,11039.17300913204,8438.584265988373,2717.734185472007,5127.979132537914,12437.12952078863,8522.339461861338,2516.706766800386,5905.467953293174,13782.56374560124,8897.852035572558,2584.490773324178,6255.9829557539,13955.92757061183,9195.000792073399,2482.689990613534,6148.822223044475,14025.16030394428,9756.439621105603,2381.878672243422,6652.688282312554,13845.76734384084,10195.37165528427,2444.312705897552,558562.0,177830.0,3930889.0,1216570.0,319842.0,2397145.0,554108.0,177163.0,3955705.0,1211981.0,317229.0,2435508.0,550536.0,176425.0,3982118.0,1205321.0,315122.0,2481590.0,551032.0,182125.0,4027685.0,1209751.0,309244.0,2532659.0,565156.0,192847.0,4047831.0,1211254.0,312313.0,2557172.0,548130.0,194507.0,4069583.0,1207407.0,296909.0,2592745.0
9.0,Cazenovia College,1824.0,New York,NY,Town,Fringe,Private,Nonprofit,4-year,,,1154.0,0.0,,0.0,,Baccalaureate Colleges,Diverse Fields,2023.0,No,,,,,1.0,1.0,1.0,0.0,7668092.0,4013265.0,4104798.0,4150188.0,3841688.0,0.0,0.0,Northeast,1279243.0,117416826.0,10.89,23255110.0,55.01,5.79,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,4.2,64953.0,66981.0,72301.0,78501.0,79182.0,82699.0,87061.0,87.0,0.319176625274596,0.338121397700166,0.320485681192228,0.333944812419416,0.316172147567204,0.323284166365586,0.30269033618776,0.318614252950784,0.297161654277955,0.324463325720936,0.305294744760275,0.299037635834988,13905.27411277699,9263.23753028816,7103.524274812894,4342.695923486541,14214.10919212851,9651.185525634386,7126.628718435063,4551.878719674939,13700.20766269627,10291.78969515402,6544.933623738598,4758.474283623391,14814.32229096918,11931.37907173214,6927.139656427767,5179.209940475806,16246.53910687995,12762.62252591281,7803.286351106238,5396.065888848378,17816.88473964304,12332.13857261348,7600.863274355621,5419.474042376715,1870478.0,492098.0,13606342.0,3556251.0,1159880.0,8210242.0,1831883.0,490373.0,13631937.0,3541274.0,1136076.0,8294069.0,1794550.0,486734.0,13649157.0,3474389.0,1115411.0,8430878.0,1816269.0,502020.0,14081080.0,3553598.0,1124221.0,8757825.0,1844128.0,527054.0,14021808.0,3494392.0,1129113.0,8786629.0,1766904.0,520830.0,13996138.0,3437438.0,1074524.0,8860163.0
10.0,Chatfield College,1971.0,Ohio,OH,City,Midsize,Private,Nonprofit,2-year,,,358.0,1.0,Roman Catholic,0.0,,Associate's Colleges,High Transfer-High Nontraditional,2023.0,No,,,,,0.0,1.0,1.0,0.0,4771003.0,5042892.0,5145354.0,6042022.0,4705167.0,0.0,0.0,Midwest,783704.0,70393769.0,11.13,13365288.0,58.64,3.55,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,4.9,48542.0,49907.0,54936.0,60407.0,59376.0,62342.0,65011.0,86.0,0.335127232203971,0.653931990127864,0.325887420110107,0.666050771417208,0.306556218349465,0.621665949914992,0.312281462945019,0.641646110478048,0.297962103315946,0.643237315707079,0.316398625962724,0.638581010016603,5251.400115563879,6658.002238715663,9923.074166251867,3355.947138074301,5354.932404696776,6305.153275327725,10680.23685567835,3048.111243719802,6683.385569001761,6462.055922545052,10981.91726985209,2856.732555396258,6191.584518887098,6251.057747929259,11086.2648359692,2838.500568614283,6448.096648183465,7069.309839329164,11625.81335438068,3000.388495646403,6737.010510690257,7887.794682600592,11903.43367570889,3650.793421773928,1086626.0,362436.0,7937085.0,2639478.0,579754.0,4511447.0,1074610.0,365047.0,7975777.0,2634997.0,569276.0,4573402.0,1066321.0,370168.0,8014966.0,2629870.0,560424.0,4646326.0,1062481.0,376907.0,8077453.0,2636855.0,552781.0,4724847.0,1083657.0,398472.0,8097704.0,2625857.0,549296.0,4775443.0,1046523.0,394170.0,8123344.0,2624935.0,524012.0,4817855.0
