name,yearEstablished,state,stateAbbreviation,locationType,locationTypeKind,typeOwned,typeProfit,level,hasUndergraduate,hasGraduate,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,carnegieAward,carnegieProgram,yearClosed,isMerged,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,region,stateBirths,statePopulation,stateBirthRate,stateFemalePopulation,stateFertilityRate,statePercentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian,reasonClosure
Alderson Broaddus University,1871,West Virginia,WV,Rural,Distant,Private,Nonprofit,4-year,True,True,767,True,Baptist,False,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,True,False,False,False,South,104440,10710952,9.75,1888053,55.32,0.47,8821173,763063961,11.56,150408029,58.65,39.95,3.8,91,18150386.0,0.301848050290377,0.645993811308187,8495.632350228272,5634.822870065615,3552.45964571835,8324.661159207033,79926.5,612398.0,60470.5,512687.5,79926.5,612398.0,51075,0
Alliance University (Formerly Nyack College),1882,New York,NY,City,Large,Private,Nonprofit,4-year,True,True,2479,True,Christian,False,None,Master's Colleges & Universities,Larger Programs,2023,FALSE,None,None,None,True,False,False,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,4255808.0,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,0
Ancilla College,1937,Indiana,IN,Rural,Distant,Private,Nonprofit,2-year,True,False,469,True,Roman Catholic,False,None,Associate's Colleges,Mixed Transfer/Career & Technical-High Traditional,2021,TRUE,private nonprofit,City: Large,Catholic,False,False,False,True,Midwest,479716,40680271,11.79,7927380,60.51,2.17,4578485,411492814,11.13,79003664,57.95,20.73,3.9,88,4351295.0,0.366015945298684,0.6796433199791174,5427.399791851871,6263.361828037159,3082.258414145963,12604.8478012944,337715.5,2531049.0,228011.0,1484195.5,337715.5,2531049.0,59797,3
Becker College,1784,Massachusetts,MA,City,Midsize,Private,Nonprofit,4-year,True,True,1973,False,None,False,None,Baccalaureate Colleges,Diverse Fields,2021,FALSE,None,None,None,False,True,True,False,Northeast,409468,41656322,9.83,8419406,48.63,1.85,3527918,339127512,10.4,65420694,53.93,15.98,4.6,90,5024459.0,0.2544292577046095,0.4148976448019415,11369.39563114195,12392.1215858976,3823.431200918245,8164.798012621362,433897.0,3292373.5,194673.5,1135221.5,433897.0,3292373.5,85585,12
Bloomfield College,1868,New Jersey,NJ,Suburb,Large,Private,Nonprofit,4-year,True,True,1737,True,Presbyterian,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2023,FALSE,None,None,None,True,False,False,False,Northeast,604153,54492751,11.09,10293179,58.69,2.74,3527918,339127512,10.4,65420694,53.93,15.98,4.8,85,14833362.0,0.374387901490809,0.5202659825797615,5715.206320806346,10431.6143470305,3230.813657953172,11047.05466514769,469274.0,4014028.0,225395.0,1672783.5,469274.0,4014028.0,78329,0
Bluffton University ,1899,Ohio,OH,Town,Distant,Private,Nonprofit,4-year,True,True,745,True,Mennonite,False,None,Baccalaureate Colleges,Diverse Fields,2025,TRUE,private nonprofit,Town: Distant,Churches of God,False,False,False,True,Midwest,783704,70393769,11.13,13365288,58.64,3.55,4578485,411492814,11.13,79003664,57.95,20.73,4.9,86,25253518.0,0.3143400444538715,0.6424417130925635,6560.029080630358,6319.840583535281,3024.249869683103,11034.09105291064,556602.5,4685586.5,373537.5,2632433.5,556602.5,4685586.5,59376,3
Cabrini University,1957,Pennsylvania,PA,Suburb,Large,Private,Nonprofit,4-year,True,True,1613,True,Roman Catholic,False,None,Master's Colleges & Universities,Medium Programs,2024,FALSE,None,None,None,True,False,False,False,Northeast,790421,77290050,10.23,14466075,54.64,3.58,3527918,339127512,10.4,65420694,53.93,15.98,3.9,87,42059652.0,0.3843867985777585,0.7168726858949119,6778.934516597485,5260.538889977555,4229.438703670017,13302.80125815099,624895.0,5176216.0,403792.0,3075860.0,624895.0,5176216.0,66449,0
Cardinal Stritch University,1937,Wisconsin,WI,Suburb,Large,Private,Nonprofit,4-year,True,True,2345,True,Roman Catholic,False,None,Doctoral/Professional Universities,Mixed Transfer/Career & Technical-High Traditional,2023,FALSE,None,None,None,True,True,True,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,12499997.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,012
Cazenovia College,1824,New York,NY,Town,Fringe,Private,Nonprofit,4-year,True,True,1154,False,None,False,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,True,True,True,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,4104798.0,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,012
Chatfield College,1971,Ohio,OH,City,Midsize,Private,Nonprofit,2-year,True,False,358,True,Roman Catholic,False,None,Associate's Colleges,High Transfer-High Nontraditional,2023,FALSE,None,None,None,False,True,True,False,Midwest,783704,70393769,11.13,13365288,58.64,3.55,4578485,411492814,11.13,79003664,57.95,20.73,4.9,86,5042892.0,0.3143400444538715,0.6424417130925635,6560.029080630358,6319.840583535281,3024.249869683103,11034.09105291064,556602.5,4685586.5,373537.5,2632433.5,556602.5,4685586.5,59376,12
