,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,-1.719,3.26,-8.097,4.75,0.066,0.05,2615.0,1776.0,1.0
p[0],0.001,0.002,0.0,0.006,0.0,0.0,26111.0,15404.0,1.0
p[1],0.0,0.0,0.0,0.001,0.0,0.0,19896.0,15303.0,1.0
p[2],0.001,0.002,0.0,0.004,0.0,0.0,27329.0,16544.0,1.0
p[3],0.006,0.003,0.001,0.012,0.0,0.0,54817.0,22425.0,1.0
p[4],0.001,0.002,0.0,0.004,0.0,0.0,30341.0,15315.0,1.0
p[5],0.003,0.002,0.001,0.007,0.0,0.0,55768.0,22117.0,1.0
p[6],0.0,0.0,0.0,0.001,0.0,0.0,23934.0,16838.0,1.0
p[7],0.011,0.004,0.004,0.019,0.0,0.0,48363.0,22089.0,1.0
p[8],0.001,0.001,0.0,0.003,0.0,0.0,24746.0,14453.0,1.0
p[9],0.001,0.001,0.0,0.003,0.0,0.0,23603.0,16339.0,1.0
p[10],0.001,0.001,0.0,0.002,0.0,0.0,23440.0,17921.0,1.0
p[11],0.0,0.0,0.0,0.0,0.0,0.0,20368.0,16568.0,1.0
p[12],0.001,0.003,0.0,0.006,0.0,0.0,26846.0,18973.0,1.0
p[13],0.002,0.004,0.0,0.008,0.0,0.0,29629.0,18001.0,1.0
p[14],0.001,0.002,0.0,0.004,0.0,0.0,27817.0,17475.0,1.0
p[15],0.004,0.002,0.001,0.007,0.0,0.0,52699.0,22350.0,1.0
p[16],0.004,0.007,0.0,0.017,0.0,0.0,27627.0,18559.0,1.0
p[17],0.027,0.031,0.0,0.089,0.0,0.0,45368.0,21873.0,1.0
p[18],0.001,0.002,0.0,0.004,0.0,0.0,28496.0,19225.0,1.0
p[19],0.001,0.002,0.0,0.006,0.0,0.0,27443.0,17437.0,1.0
p[20],0.012,0.014,0.0,0.04,0.0,0.0,48036.0,21691.0,1.0
p[21],0.004,0.008,0.0,0.017,0.0,0.0,26376.0,19024.0,1.0
p[22],0.002,0.004,0.0,0.007,0.0,0.0,31907.0,16342.0,1.0
p[23],0.001,0.002,0.0,0.005,0.0,0.0,28984.0,18328.0,1.0
p[24],0.003,0.006,0.0,0.012,0.0,0.0,36944.0,19725.0,1.0
p[25],0.001,0.002,0.0,0.005,0.0,0.0,29077.0,18565.0,1.0
p[26],0.001,0.003,0.0,0.006,0.0,0.0,27944.0,18499.0,1.0
p[27],0.0,0.001,0.0,0.002,0.0,0.0,27388.0,18732.0,1.0
p[28],0.01,0.008,0.0,0.026,0.0,0.0,52038.0,21752.0,1.0
p[29],0.002,0.001,0.001,0.004,0.0,0.0,54483.0,23671.0,1.0
p[30],0.007,0.005,0.0,0.018,0.0,0.0,56613.0,20498.0,1.0
p[31],0.006,0.003,0.001,0.012,0.0,0.0,52198.0,22318.0,1.0
p[32],0.001,0.002,0.0,0.004,0.0,0.0,24973.0,15228.0,1.0
p[33],0.0,0.0,0.0,0.001,0.0,0.0,22513.0,15426.0,1.0
p[34],0.0,0.0,0.0,0.001,0.0,0.0,20263.0,16514.0,1.0
p[35],0.001,0.001,0.0,0.003,0.0,0.0,21297.0,16521.0,1.0
p[36],0.001,0.001,0.0,0.003,0.0,0.0,24186.0,14732.0,1.0
p[37],0.001,0.001,0.0,0.003,0.0,0.0,21560.0,16132.0,1.0
p[38],0.001,0.001,0.0,0.002,0.0,0.0,23390.0,17209.0,1.0
p[39],0.0,0.0,0.0,0.0,0.0,0.0,21058.0,16218.0,1.0
p[40],0.007,0.009,0.0,0.025,0.0,0.0,43436.0,24759.0,1.0
p[41],0.002,0.004,0.0,0.008,0.0,0.0,26026.0,19254.0,1.0
p[42],0.009,0.007,0.0,0.022,0.0,0.0,51233.0,21884.0,1.0
p[43],0.0,0.0,0.0,0.001,0.0,0.0,23401.0,16395.0,1.0
p[44],0.004,0.007,0.0,0.017,0.0,0.0,30008.0,18181.0,1.0
p[45],0.006,0.012,0.0,0.025,0.0,0.0,26092.0,17043.0,1.0
p[46],0.004,0.004,0.0,0.013,0.0,0.0,50638.0,24190.0,1.0
p[47],0.01,0.008,0.0,0.025,0.0,0.0,41824.0,23999.0,1.0
p[48],0.002,0.005,0.0,0.01,0.0,0.0,25912.0,18659.0,1.0
p[49],0.004,0.008,0.0,0.017,0.0,0.0,28457.0,19815.0,1.0
p[50],0.002,0.004,0.0,0.007,0.0,0.0,31770.0,19017.0,1.0
p[51],0.001,0.002,0.0,0.005,0.0,0.0,27742.0,18307.0,1.0
p[52],0.02,0.027,0.0,0.072,0.0,0.0,34714.0,18812.0,1.0
p[53],0.001,0.002,0.0,0.005,0.0,0.0,26558.0,19008.0,1.0
p[54],0.001,0.003,0.0,0.006,0.0,0.0,28857.0,16938.0,1.0
p[55],0.0,0.001,0.0,0.002,0.0,0.0,26446.0,16844.0,1.0
p[56],0.001,0.002,0.0,0.006,0.0,0.0,25947.0,15786.0,1.0
p[57],0.0,0.0,0.0,0.001,0.0,0.0,18600.0,12292.0,1.0
p[58],0.001,0.002,0.0,0.004,0.0,0.0,25377.0,17935.0,1.0
p[59],0.001,0.001,0.0,0.002,0.0,0.0,24928.0,15428.0,1.0
p[60],0.001,0.002,0.0,0.004,0.0,0.0,26425.0,17917.0,1.0
p[61],0.0,0.0,0.0,0.001,0.0,0.0,22955.0,18825.0,1.0
p[62],0.003,0.002,0.001,0.006,0.0,0.0,53301.0,21651.0,1.0
p[63],0.001,0.001,0.0,0.003,0.0,0.0,21445.0,16532.0,1.0
p[64],0.001,0.001,0.0,0.003,0.0,0.0,27363.0,19240.0,1.0
p[65],0.006,0.004,0.001,0.013,0.0,0.0,53987.0,20530.0,1.0
p[66],0.001,0.001,0.0,0.002,0.0,0.0,26620.0,17204.0,1.0
p[67],0.004,0.001,0.002,0.007,0.0,0.0,33166.0,24473.0,1.0
p[68],0.001,0.003,0.0,0.006,0.0,0.0,29636.0,20710.0,1.0
p[69],0.002,0.004,0.0,0.008,0.0,0.0,27776.0,18744.0,1.0
p[70],0.001,0.002,0.0,0.004,0.0,0.0,26928.0,16998.0,1.0
p[71],0.004,0.002,0.001,0.007,0.0,0.0,55974.0,23198.0,1.0
p[72],0.004,0.007,0.0,0.017,0.0,0.0,30011.0,19479.0,1.0
p[73],0.006,0.012,0.0,0.025,0.0,0.0,26320.0,18133.0,1.0
p[74],0.001,0.002,0.0,0.004,0.0,0.0,26920.0,17322.0,1.0
p[75],0.001,0.002,0.0,0.006,0.0,0.0,27236.0,17420.0,1.0
p[76],0.002,0.005,0.0,0.01,0.0,0.0,26515.0,14646.0,1.0
p[77],0.004,0.008,0.0,0.017,0.0,0.0,28174.0,18489.0,1.0
p[78],0.01,0.014,0.0,0.038,0.0,0.0,35582.0,20800.0,1.0
