name,reasonClosure,kmeans_cluster,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,tsne_x,tsne_y,lda_reason_component_1,lda_reason_component_2,lda_reason_component_3,lda_reason_component_4,lda_reason_component_5,lda_reason_component_6
Alderson Broaddus University,0,20,-3.7859922150119294,2.164598762060963,-1.8028859384088411,0.5063634253652608,-0.86089982071708,-311.24664,152.79506,-6.4386176025894,2.9275369134746345,-0.6825168872179673,3.725939771902223,1.7704897910829598,0.44784012823720104
Alliance University (Formerly Nyack College),0,19,2.981254198577469,-1.9435332727353722,0.5202514502933925,-1.0845630854017358,1.2439114022115971,178.708,118.196625,-7.47546585597452,4.332237225274074,-1.1971455050384086,0.1917203280827077,3.488589603095225,-2.29337071757133
Ancilla College,3,15,-2.3868502389593234,0.6953259913820927,0.960960556750291,0.668654067028881,0.26434542355194995,-214.22331,-30.491405,-22.178046471555454,11.943267325092384,-8.12500541286297,-0.8438012983125143,-2.5513202169177585,-0.62221290989095
Becker College,12,10,0.39943720415185735,-3.2366206845744023,-0.9176881612642757,-1.350030313431528,-0.9843164202008099,92.2628,106.74983,-28.274856904996525,-0.7752105281081344,20.80305048401382,-0.4053654409264422,-2.892904906630741,0.28259583464448873
Bloomfield College,0,6,-0.1690319484613448,-2.246822406275848,1.3983317963459578,0.03212579957507884,0.8309617165321388,102.30319,-18.025553,-5.817318370039797,5.151647012523798,-0.3653328012960798,3.332977341737694,3.710251290795662,0.1434250168313204
Bluffton University ,3,15,-0.7333285104071788,0.5298142504621911,0.6082203255511605,1.375738794502306,0.31908721104484333,17.097675,-125.54757,-25.392196832020378,11.452754484838321,-3.990180340844668,-0.377103834815311,-3.5078797376391777,2.5012997183283527
Cabrini University,0,6,-0.16701018337074403,-2.1580046223427995,1.5456847272847851,1.2522989174372543,-0.500403379212747,172.65294,-18.657785,-4.132329222947008,3.9441158051620846,1.2255186519077543,2.0605402063473446,2.5647223793521006,0.013964944415212715
Cardinal Stritch University,012,14,-1.573326507155826,0.4155200971354018,-0.5461843289435367,-1.4940423598635364,-2.003854842355203,-95.57853,-88.4182,63.443746391777545,29.36772128802633,3.439028743120998,-1.4019916495380014,-1.6588465421417797,-0.23188506759986635
Cazenovia College,012,5,2.86680110325577,-1.9526227463583516,0.1856352245162891,-0.7817465515179135,1.372645553784175,131.0243,177.5087,63.914343825670734,29.44853288992185,3.2492908499406825,-1.3530098407740865,-1.621943927038221,-0.25737433382151403
Chatfield College,12,15,-0.7393055582661886,0.6450317278281998,0.6195078126053637,1.140675849208674,0.24478493818882477,-3.2776206,-23.767296,-28.748962224150752,-1.4297133137730478,22.697968326425578,-0.802157177794314,-3.7053153589493215,-1.3542006712515235
Compass College of Film and Media,3,3,-1.1820387517842825,-0.9221606032851902,-0.220776697421155,2.9330401020816126,0.9216744361544947,102.89452,-152.0623,-22.59844283984236,10.153796513655818,-6.881094227756801,-0.5242691976004987,-1.3497538500614021,-1.499955319024409
Concordia College,02,5,2.912268214397802,-1.958315894255355,0.4422537212210675,-0.6397652012777505,1.2963210911421392,228.81093,79.081,-4.269317187151622,-4.458075718610301,2.779798236407421,-2.2894390698009643,-1.0791464578575976,9.329824155219269
Finlandia University,01,3,-1.2541490351054445,-0.9762718761393065,-0.27334837641077353,2.645592656117513,1.0906905450359536,56.993504,-184.71727,2.5007359136962592,-10.593126755571701,-1.899944879875797,-5.864369079301048,1.5630237331557264,0.45616550539555994
Fontbonne University,01,1,-1.7128545816217753,0.650125345383852,0.05116479940986885,-1.3932101994560353,-0.5187792659452798,-151.01604,-59.87911,0.6132620982127317,-10.044584610383739,-2.0219836788590704,-4.4577507164468475,2.4308754276384024,-0.8526511307045116
Hodges University,0,8,1.9330804306656606,3.12731471398423,-1.222045773517825,0.12523879910065872,1.2642121313059307,-501.68893,85.57878,-6.205185538181749,4.5370517071180725,0.27379042832976186,2.9633812130513397,2.9830223319506444,0.13406905635510827
Holy Family College,012,14,-1.570738222492637,0.3900909862354135,-0.9634170900081909,-1.3218617223756945,-1.866368541059742,-117.8548,-197.05785,63.868804344815125,28.935157536863713,2.7210548060300157,-0.6548220290056196,-0.7386677513412743,0.16708314353225076
