uid,key,name,article_author,article_title,article_source,article,link,state,year_closed
237118.0,237118,Alderson Broaddus University,Jeremy Bauer-Wolf,"Alderson Broaddus University loses state operating approval, portending closure",highereddive.com,articles_txt/237118.txt,https://www.highereddive.com/news/alderson-broaddus-university-loses-state-operating-approval-portending-clo/689582/,West Virginia,2023
194161.0,194161,Alliance University (Formerly Nyack College),Laura Spitalniak,Alliance University to close in August,highereddive.com,articles_txt/194161.txt,https://www.highereddive.com/news/alliance-university-to-close-in-august/685035/,New York,2023
497833.0,497833,Ancilla College,,"Ancilla College, Marian University Announce Merger, New Name",inkfreenews.com,articles_txt/497833.txt,https://www.inkfreenews.com/2020/08/28/ancilla-college-marian-university-announce-merger-new-name/,Indiana,2021
164720.0,164720,Becker College,,"Becker College, citing financial pressure, announces closure",apnews.com,articles_txt/164720.txt,"https://apnews.com/general-news-f28092c26214a68bd470db9dd705a003#:~:text=(AP)%20%E2%80%94%20Becker%20College%20in,posted%20on%20its%20website%20Monday.",Massachusetts,2021
183822.0,183822,Bloomfield College,Jeremy Bauer-Wolf,"Months after plea, Bloomfield College will remain open with help from Montclair State U",highereddive.com,articles_txt/183822.txt,https://www.highereddive.com/news/months-after-plea-bloomfield-college-will-remain-open-with-help-from-montc/620943/,New Jersey,2023
201371.0,201371,Bluffton University ,Ben Unglesbee,University of Findlay calls off merger with Bluffton University,highereddive.com,articles_txt/201371.txt,https://www.highereddive.com/news/university-of-findlay-calls-off-merger-bluffton-university/741305/,Ohio,2025
211352.0,211352,Cabrini University,,"Cabrini University to close after '23-24 school year, Villanova will acquire campus",apnews.com,articles_txt/211352.txt,"https://apnews.com/article/cabrini-university-closing-villanova-01834d1e3e89cedfabf15f7a03d417b3#:~:text=RADNOR%2C%20Pa.,Roman%20Catholic%20university%20is%20located.",Pennsylvania,2024
238430.0,238430,Cardinal Stritch University,Jeremy Bauer-Wolf,Cardinal Stritch University campus purchased for $24M,highereddive.com,articles_txt/238430.txt,https://www.highereddive.com/news/cardinal-stritch-university-campus-purchased-for-24m/689752/,Wisconsin,2023
189848.0,189848,Cazenovia College,Jeremy Bauer-Wolf,"Cazenovia College says it will close in spring 2023, citing financial stress and rising inflation",highereddive.com,articles_txt/189848.txt,https://www.highereddive.com/news/cazenovia-college-says-it-will-close-in-spring-2023-citing-financial-stres/638255/,New York,2023
201751.0,201751,Chatfield College,Jeremy Bauer-Wolf,"2-year Chatfield College to close, transition to student support nonprofit",highereddive.com,articles_txt/201751.txt,https://www.highereddive.com/news/2-year-chatfield-college-to-close-transition-to-student-support-nonprofit/631740/,Ohio,2023
459417.0,459417,Compass College of Film and Media,Laura Spitalniak,Calvin University to acquire Compass College of Film & Media,highereddive.com,articles_txt/459417.txt,https://www.highereddive.com/news/calvin-university-to-acquire-compass-college-of-film-media/685616/,Michigan,2023
190248.0,190248,Concordia College,Ben Unglesbee,Concordia University Ann Arbor to cut most programs,highereddive.com,articles_txt/190248.txt,https://www.highereddive.com/news/concordia-university-ann-arbor-campus-program-cuts/719810/,New York,2021
172440.0,172440,Finlandia University,Matthew Miller,Finlandia University had a plan to save itself. It didn’t work.,mlive.com,articles_txt/172440.txt,https://www.mlive.com/news/2023/05/finlandia-university-had-a-plan-to-save-itself-it-didnt-work.html,Michigan,2023
177418.0,177418,Fontbonne University,Jeremy Bauer-Wolf,"Fontbonne University to cut 21 academic programs, at least 18 faculty jobs",highereddive.com,articles_txt/177418.txt,https://www.highereddive.com/news/fontbonne-university-to-cut-21-academic-programs-at-least-18-faculty-jobs/701501/,Missouri,2025
367884.0,367884,Hodges University,Jeremy Bauer-Wolf,Hodges University to close by August 2024,highereddive.com,articles_txt/367884.txt,"https://www.highereddive.com/news/hodges-university-to-close-by-august-2024/692078/#:~:text=from%20your%20inbox.-,Hodges%20University%20to%20close%20by%20August%202024,enrollment%20challenges%20and%20financial%20difficulties.",Florida,2024
239743.0,239743,Holy Family College,Devi Shastri,'What am I going to do now?' Wisconsin colleges rush to help Holy Family students transition,jsonline.com,articles_txt/239743.txt,https://www.jsonline.com/story/news/education/2020/05/15/wake-holy-family-college-closing-students-plan-transfer/5183921002/,Wisconsin,2020
115728.0,115728,Holy Names University,Rick Seltzer,California Catholic university to close in May after failing to find merger partner,highereddive.com,articles_txt/115728.txt,https://www.highereddive.com/news/holy-names-university-closing-may-no-merger/639212/,California,2023
465812.0,465812,Independence University,Natalie Schwartz,Education Department puts CEHE on the hook for $23M in closed-school loan discharges,highereddive.com,articles_txt/465812.txt,https://www.highereddive.com/news/education-department-cehe-closed-school-discharges/702893/,Utah,2021
151111.0,151111,Indiana University-Purdue University Indianapolis,Rick Seltzer,"Indiana University, Purdue University lay plans to split IUPUI in 2 years",highereddive.com,articles_txt/151111.txt,https://www.highereddive.com/news/indiana-university-purdue-university-lay-plans-to-split-iupui-in-2-years/629721/,Indiana,2024
153621.0,153621,Iowa Wesleyan University,Jeremy Bauer-Wolf,Iowa Wesleyan University to close at the end of the academic year,highereddive.com,articles_txt/153621.txt,https://www.highereddive.com/news/iowa-wesleyan-university-to-close-at-the-end-of-the-academic-year/646243/,Iowa,2023
132879.0,132879,Johnson University Florida,Laura Spitalniak,Johnson University will close its Florida campus next June,highereddive.com,articles_txt/132879.txt,https://www.highereddive.com/news/johnson-university-close-its-florida-campus-june-2024/686835/,Florida,2024
101541.0,101541,Judson College,Emma Whitford,Judson College Will Close,insidehighered.com,articles_txt/101541.txt,https://www.careereducationreview.net/2021/05/judson-college-will-close-inside-higher-ed/,Alabama,2021
146667.0,146667,Lincoln Christian University,Laura Spitalniak,Lincoln Christian University to close in May,highereddive.com,articles_txt/146667.txt,"https://www.highereddive.com/news/lincoln-christian-university-to-close-in-may-ozark-christian-seminary/696474/#:~:text=Dive%20Brief%3A,400%20miles%20away%20in%20Missouri.",Illinois,2024
146676.0,146676,Lincoln College,Jeremy Bauer-Wolf,"Lincoln College, a predominantly Black institution, to close in May",highereddive.com,articles_txt/146676.txt,"https://www.highereddive.com/news/lincoln-college-a-predominantly-black-institution-to-close-in-may/621364/#:~:text=Dive%20Brief%3A,that%20worsened%20its%20financial%20position.",Illinois,2022
146825.0,146825,MacMurray College,Paul Black,Mac Murray College closing at the end of Spring 2020 term,igrc.org,articles_txt/146825.txt,https://www.igrc.org/newsdetail/mac-murray-college-closing-at-the-end-of-spring-2020-term-13566145,Illinois,2020
182917.0,182917,Magdalen College of the Liberal Arts,Josh Moody,Magdalen College Announces Closure,criernewsroom.com,articles_txt/182917.txt,https://criernewsroom.com/news/2023/11/16/magdalen-college-to-close-its-doors-after-50-years/,New Hampshire,2024
230940.0,230940,Marlboro College,"Bob Audette, Brattleboro Reformer",Marlboro releases closure information,reformer.com,articles_txt/230940.txt,https://www.reformer.com/local-news/marlboro-releases-closure-information/article_afba3fb7-9ce7-596f-94b4-905918a0ec57.html,Vermont,2020
220701.0,220701,Martin Methodist College (UT Southern),,UT Moves Forward on Plan to Absorb Middle TN Private College,wuot.org,articles_txt/220701.txt,https://www.wuot.org/2020-12-11/ut-moves-forward-on-plan-to-absorb-middle-tn-private-college,Tennessee,2021
118541.0,118541,Marymount California University,Jeremy Bauer-Wolf,Marymount California University to shut down following merger attempt,highereddive.com,articles_txt/118541.txt,https://www.highereddive.com/news/marymount-california-university-to-shut-down-following-merger-attempt/622630/,California,2022
192925.0,192925,Medaille University,Laura Spitalniak,Medaille University to close amid falling enrollment and layoffs,highereddive.com,articles_txt/192925.txt,https://www.highereddive.com/news/medaille-university-to-close-amid-falling-enrollment-and-layoffs/650332/,New York,2023
118888.0,118888,Mills College,Natalie Schwartz,Mills College explores merging into Northeastern University to avert closure,highereddive.com,articles_txt/118888.txt,https://www.highereddive.com/news/mills-college-explores-merging-into-northeastern-university-to-avert-closur/602091/,California,2022
209287.0,209287,Multnomah University,Laura Spitalniak,Jessup University to acquire fellow Christian college Multnomah University,highereddive.com,articles_txt/209287.txt,https://www.highereddive.com/news/jessup-university-to-acquire-fellow-christian-college-multnomah-university/699226/,Oregon,2024
,nebraska_christian_college,Nebraska Christian College,Jim Nieman,HIU Announces Closure of Nebraska Christian College,christianstandard.com,articles_txt/nebraska_christian_college.txt,https://christianstandard.com/2020/04/hiu-announces-closure-of-nebraska-christian-college/,Nebraska,2020
204468.0,204468,Notre Dame College,Lilah Burke,Notre Dame College to close after spring semester,highereddive.com,articles_txt/204468.txt,https://www.highereddive.com/news/notre-dame-college-close-failed-merger/709103/,Ohio,2024
237640.0,237640,Ohio Valley University,Natalie Schwartz,Ohio Valley University will close before spring term,highereddive.com,articles_txt/237640.txt,"https://www.highereddive.com/news/ohio-valley-university-will-close-before-spring-term/611221/#:~:text=Ohio%20Valley%20University%2C%20a%20nonprofit,state's%20higher%20education%20commission%20Tuesday.",West Virginia,2021
209603.0,209603,Pacific Northwest College of Art,Hallie Busta,Oregon College of Art and Craft to close as small art schools struggle to survive,highereddive.com,articles_txt/209603.txt,https://www.highereddive.com/news/oregon-college-of-art-and-craft-to-close-as-small-art-schools-struggle-to-s/548092/,Oregon,2021
442356.0,442356,Pennsylvania College of Health Sciences,Ben Unglesbee,Penn State University’s board greenlights plan to close 7 campuses,highereddive.com,articles_txt/442356.txt,https://www.highereddive.com/news/penn-state-universitys-board-greenlights-plan-to-close-7-campuses/749068/,Pennsylvania,2024
167455.0,167455,Pine Manor College,,Public Statement on Pine Manor College,neche.org,articles_txt/167455.txt,https://www.neche.org/commission-statements/public-statement-on-pine-manor-college-april-28-2020/,Massachusetts,2020
219295.0,219295,Presentation College,Rick Seltzer,Presentation College in South Dakota plans to close,highereddive.com,articles_txt/219295.txt,https://www.highereddive.com/news/presentation-college-south-dakota-closing/640665/,South Dakota,2023
486433.0,486433,Presidio Graduate School,Rick Seltzer,University of Redlands scoops up graduate school to add to San Francisco-area campus,highereddive.com,articles_txt/486433.txt,https://www.highereddive.com/news/university-of-redlands-acquiring-Presidio-Graduate-School/638846/,California,2023
214564.0,214564,Salus University,Jeremy Bauer-Wolf,"Salus University, graduate health science institution, looks to join with Drexel University",highereddive.com,articles_txt/214564.txt,https://www.highereddive.com/news/salus-university-graduate-health-science-institution-looks-to-join-with-d/647955/,Pennsylvania,2024
122454.0,122454,San Francisco Art Institute,Jeremy Bauer-Wolf,San Francisco Art Institute shuts down after merger collapses,highereddive.com,articles_txt/122454.txt,https://www.highereddive.com/news/san-francisco-art-institute-shuts-down-after-merger-collapses/627448/,California,2022
182458.0,182458,Sierra Nevada University,Kelsey Penrose,"Sierra Nevada University officially becomes University of Nevada, Reno at Lake Tahoe following merger - Carson Now",carsonnow.org,articles_txt/182458.txt,"https://www.carsonnow.org/07/06/2022/inclines-sierra-nevada-university-officially-becomes-university-nevada-reno-lake-ta#:~:text=Sierra%20Nevada%20University%20officially%20becomes%20University%20of,Lake%20Tahoe%20following%20merger%20%2D%20Carson%20Now.&text=As%20of%20July%2C%20the%20Incline%20Village%20college%2C,University%20of%20Nevada%2C%20Reno%20at%20Lake%20Tahoe.",Nevada,2022
148876.0,148876,St. Augustine College,Natalie Schwartz,Saint Augustine’s University loses appeal to keep accreditation,highereddive.com,articles_txt/148876.txt,https://www.highereddive.com/news/saint-augustines-loses-accreditation-appeal/741974/,Illinois,2024
19580901.0,19580901,St. John's University -- Staten Island,Jeremy Bauer-Wolf,St. John’s University to close Staten Island campus in spring 2024,highereddive.com,articles_txt/19580901.txt,https://www.highereddive.com/news/st-johns-university-to-close-staten-island-campus-in-spring-2024/629675/,New York,2024
179256.0,179256,St. Louis Christian College,Jeremy Bauer-Wolf,Meet a president guiding the merger of 2 Missouri religious colleges,highereddive.com,articles_txt/179256.txt,https://www.highereddive.com/news/meet-a-president-guiding-the-merger-of-2-missouri-religious-colleges/629463/,Missouri,2022
195234.0,195234,The College of Saint Rose,Laura Spitalniak,The College of Saint Rose will close at the end of the academic year,highereddive.com,articles_txt/195234.txt,https://www.highereddive.com/news/the-college-of-saint-rose-close-spring-2024-end-of-academic-year/701349/,New York,2024
215132.0,215132,University of the Sciences,Rick Seltzer,Here's how Saint Joseph's closed its University of the Sciences acquisition,highereddive.com,articles_txt/215132.txt,https://www.highereddive.com/news/heres-how-saint-josephs-closed-its-university-of-the-sciences-acquisition/624787/,Pennsylvania,2022
,urbana_university,Urbana University,Keith Button,Columbus' Franklin and Urbana Universities merge,highereddive.com,articles_txt/urbana_university.txt,https://www.highereddive.com/news/columbus-franklin-and-urbana-universities-merge/257181/,Ohio,2020
240365.0,240365,UW Oshkosh - Fond du Lac Campus,Jeremy Bauer-Wolf,UW-Oshkosh cuts workforce by more than 200 as budget crisis unfolds,highereddive.com,articles_txt/240365.txt,https://www.highereddive.com/news/uw-oshkosh-cuts-workforce-by-more-than-200-as-budget-crisis-unfolds/696898/,Wisconsin,2024
240277.0,240277,UW Green Bay - Marinette Campus,Corrinne Hess,UW-Green Bay ending in-person classes in Marinette County,wpr.org,articles_txt/240277.txt,https://www.wpr.org/education/higher-education/uw-green-bay-ending-in-person-classes-in-marinette-county,Wisconsin,2024
240453.0,240453,UW Milwaukee - Waukesha Campus,,UWM at Waukesha campus to close in 2025; UWM develops University Center with WCTC,uwm.edu,articles_txt/240453.txt,https://uwm.edu/news/uwm-at-waukesha-campus-to-close-in-2025-uwm-develops-university-center-with-wctc/,Wisconsin,2025
240453.0,240453,UW Milwaukee - Washington Campus,Natalie Schwartz,Wisconsin budget proposal would consolidate UW-Milwaukee branch campus with technical college,highereddive.com,articles_txt/240453.txt,https://www.highereddive.com/news/university-wisconsin-branch-campus-merger-consolidation-technical-college/653955/,Wisconsin,2024
,wave_leadership_college,Wave Leadership College,Jeremy Bauer-Wolf,"Wave Leadership College, a nonprofit religious institution, closes",highereddive.com,articles_txt/wave_leadership_college.txt,https://www.highereddive.com/news/wave-leadership-college-a-nonprofit-religious-institution-closes/627066/,Virginia,2022
131098.0,131098,Wesley College,Mark Eichmann,Delaware State University completes historic Wesley College takeover,whyy.org,articles_txt/131098.txt,https://whyy.org/articles/delaware-state-becomes-first-hbcu-to-acquire-another-school-with-takeover-of-wesley-college/,Delaware,2021
125897.0,125897,Woodbury University,Andrew Keatts,Urban development trendsetter Woodbury School of Architecture is closing,axios.com,articles_txt/125897.txt,https://www.axios.com/local/san-diego/2024/05/01/urban-development-trendsetter-woodbury-school-architecture-closing,California,2024
149763.0,149763,Oak Point University,Laura Spitalniak,Healthcare-focused Oak Point University to close abruptly in April,highereddive.com,articles_txt/149763.txt,https://www.highereddive.com/news/oak-point-university-to-close-abruptly-april-healthcare-chicago/711797/,Illinois,2024
100937.0,100937,Birmingham-Southern College,Laura Spitalniak,Birmingham-Southern to shutter May 31,highereddive.com,articles_txt/100937.txt,https://www.highereddive.com/news/birmingham-southern-to-shutter-may-31-alabama/711439/,Alabama,2024
207935.0,207935,Tulsa Community College at Owasso,News Staff,TCC no longer offering classes at Owasso campus starting in summer,fox23.com,articles_txt/207935.txt,https://www.fox23.com/news/tcc-announces-upcoming-closure-of-owasso-campus/article_fd045594-ebc4-11ee-be89-47e517aff9b6.html,Oklahoma,2024
197230.0,197230,Wells College,Laura Spitalniak,Wells College to close at the end of the spring term,highereddive.com,articles_txt/197230.txt,https://www.highereddive.com/news/wells-college-closure-end-of-the-spring-term-semester-abrupt/714628/,New York,2024
165644.0,165644,Eastern Nazarene College,Ben Unglesbee,Eastern Nazarene College in Massachusetts to close,highereddive.com,articles_txt/165644.txt,https://www.highereddive.com/news/eastern-nazarene-college-in-massachusetts-to-close/719969/,Massachusetts,2024
176770.0,176770,Cox College,Natalie Schwartz,Cox College to close and transition operations to new healthcare education alliance,highereddive.com,articles_txt/176770.txt,https://www.highereddive.com/news/cox-college-closing-healthcare-alliance/692522/,Missouri,2025
240462.0,240462,University of Wisconsin–Platteville Richland,Laura Spitalniak,UW-Platteville will cut 111 positions — 12% of its workforce,highereddive.com,articles_txt/240462.txt,"https://www.highereddive.com/news/uw-platteville-to-cut-111-positions/697964/#:~:text=Last%20November%2C%20Universities%20of%20Wisconsin,the%20Richland%20campus%20would%20close.",Wisconsin,2024
164085.0,164085,Maryland University of Integrative Health,Laura Spitalniak,Notre Dame of Maryland University to acquire graduate health college,highereddive.com,articles_txt/164085.txt,https://www.highereddive.com/news/notre-dame-of-maryland-university-to-acquire-Maryland-University-of-Integrative-Health/698227/,Maryland,2025
,b_h_carroll_theological_seminary,B. H. Carroll Theological Seminary,Ken Camp,"Carroll Seminary withdraws from ABHE accreditation
Carroll Seminary withdraws from ABHE accreditation
",baptiststandard.com,articles_txt/b_h_carroll_theological_seminary.txt,https://baptiststandard.com/news/texas/carroll-seminary-withdraws-from-abhe-accreditation/,Texas,2025
166018.0,166018,Hampshire College,Ben Unglesbee,Hampshire College to close after years-long turnaround effort comes up short,highereddive.com,articles_txt/166018.txt,https://www.highereddive.com/news/hampshire-college-closure-announcement/817499/,Massachusetts,2026
164492.0,164492,Anna Maria College,Ben Unglesbee,Anna Maria College in Massachusetts to close,highereddive.com,articles_txt/164492.txt,https://www.highereddive.com/news/anna-maria-college-massachusetts-closure/818492/,Massachusetts,2026
