index,yearClosed,EndowmentMedian2023,EndowmentMedian2022,EndowmentMedian2021,EndowmentMedian2020,EndowmentMedian2019,EndowmentMedian2018,hasMissing
0,2023,0,16256321,18685108,18456342,17367369,18150386,0
1,2023,0,622193,3736796,4577611,4393633,4255808,0
2,2023,0,0,0,0,0,0,1
3,2021,0,0,0,4394680,4351295,4110469,0
4,2021,0,0,0,5024459,5116037,4962182,0
5,2023,0,14833362,17019652,14209684,14255359,15133518,0
6,2025,0,23552031,25754825,21905880,23136427,25253518,1
7,2024,0,39117750,48000292,41953130,42166174,45558371,1
8,2023,0,13809203,13653757,12499997,12481793,12087176,0
9,2023,0,3841688,4150188,4104798,4013265,7668092,0
10,2023,0,4705167,6042022,5145354,5042892,4771003,0
11,2023,0,0,0,0,0,0,1
12,2021,0,0,0,14216528,13291392,12661592,0
13,2023,0,5971714,5971713,5786875,5704166,7958061,0
14,2025,0,14138749,17302502,15252781,15210260,14669491,1
15,2024,0,2923606,2968254,2955963,2898507,2826636,1
16,2020,0,0,0,0,7050629,7048441,0
17,2023,0,57903967,65883224,54619996,54171145,51917540,0
18,2021,0,0,0,0,0,0,1
19,2024,0,2180644869,2252019515,1147557403,1241294915,1177983781,1
20,2023,0,18993810,18321843,17463237,17400996,17472713,0
21,2024,0,1928898,1670154,1583206,1744966,1425097,1
22,2021,0,0,0,14047540,15479806,15388964,0
23,2024,0,5422682,5715377,5385565,5301066,5336831,1
24,2022,0,0,23684584,21053451,20106194,1969345,0
25,2020,0,0,0,0,14180173,15953169,0
26,2024,0,0,0,0,0,0,1
27,2020,0,0,0,0,35733063,37619624,0
28,2021,0,0,0,0,0,0,1
29,2022,0,0,10860257,13175412,12939075,12360679,0
30,2023,0,2095463,2323787,1988890,1506637,1470738,0
31,2022,0,0,225622133,187318992,196403975,191278617,0
32,2024,0,7806000,8740000,7888000,7850000,7005000,1
33,2020,0,0,0,0,0,0,1
34,2024,0,9241315,13516952,10567009,10628189,10033782,1
35,2021,0,0,0,2014174,4583080,1998173,0
36,2021,0,0,0,0,0,0,1
37,2024,0,13495858,14115871,9188957,7343381,5946947,1
38,2020,0,0,12871750,9313687,9621706,9607790,0
39,2023,0,15081912,14168358,12494454,12164746,13047759,0
40,2023,0,0,0,0,0,0,1
41,2024,0,50772437,57407928,46617036,46264055,24807417,1
42,2022,0,0,3983198,6276219,10324429,10453377,0
43,2022,0,0,7215335,6087055,4625250,4382400,0
44,2024,0,154117,154116,122863,133928,114162,1
45,2024,0,0,0,0,0,0,1
46,2022,0,0,1087348,1108981,1091879,1120476,0
47,2024,0,40115923,44047118,38815266,44960904,44730531,1
48,2022,0,0,164885128,145646092,162149152,171782269,0
49,2020,0,0,0,0,0,0,1
50,2024,0,0,0,0,0,0,1
51,2024,0,0,0,0,0,0,1
52,2025,0,0,0,0,0,0,1
53,2024,0,0,0,0,0,0,1
54,2022,0,0,0,0,0,0,1
55,2021,0,0,0,3157250,3450244,3281329,0
56,2024,0,19155677,23307341,20070284,19813990,22197101,1
57,2024,0,0,0,0,0,0,1
58,2024,0,50831353,53984787,49403369,53117638,56701074,1
59,2024,0,13286529,17070850,12615824,9010533,1130654,1
60,2024,0,28778328,33185965,27521760,27331124,37184815,1
61,2024,0,19100262,19431518,18753406,19545720,19548765,1
62,2025,0,0,0,0,0,0,1
63,2024,0,0,0,0,0,0,1
64,2025,0,0,0,0,0,0,1
65,2025,0,0,0,0,0,0,1
,,,,,,,,
