index,yearClosed,EndowmentMedian2023,EndowmentMedian2022,EndowmentMedian2021,EndowmentMedian2020,EndowmentMedian2019,EndowmentMedian2018,hasMissing,noData
0,2023,0.0,16256321.0,18685108.0,18456342.0,17367369.0,18150386.0,False,False
1,2023,0.0,622193.0,3736796.0,4577611.0,4393633.0,4255808.0,False,False
2,2023,,,,,,,True,True
3,2021,0.0,0.0,0.0,4394680.0,4351295.0,4110469.0,False,False
4,2021,0.0,0.0,0.0,5024459.0,5116037.0,4962182.0,False,False
5,2023,0.0,14833362.0,17019652.0,14209684.0,14255359.0,15133518.0,False,False
6,2025,,23552031.0,25754825.0,21905880.0,23136427.0,25253518.0,True,False
7,2024,,39117750.0,48000292.0,41953130.0,42166174.0,45558371.0,True,False
8,2023,0.0,13809203.0,13653757.0,12499997.0,12481793.0,12087176.0,False,False
9,2023,0.0,3841688.0,4150188.0,4104798.0,4013265.0,7668092.0,False,False
10,2023,0.0,4705167.0,6042022.0,5145354.0,5042892.0,4771003.0,False,False
11,2023,,,,,,,True,True
12,2021,0.0,0.0,0.0,14216528.0,13291392.0,12661592.0,False,False
13,2023,0.0,5971714.0,5971713.0,5786875.0,5704166.0,7958061.0,False,False
14,2025,,14138749.0,17302502.0,15252781.0,15210260.0,14669491.0,True,False
15,2024,,2923606.0,2968254.0,2955963.0,2898507.0,2826636.0,True,False
16,2020,0.0,0.0,0.0,0.0,7050629.0,7048441.0,False,False
17,2023,0.0,57903967.0,65883224.0,54619996.0,54171145.0,51917540.0,False,False
18,2021,,,,,,,True,True
19,2024,,2180644869.0,2252019515.0,1147557403.0,1241294915.0,1177983781.0,True,False
20,2023,0.0,18993810.0,18321843.0,17463237.0,17400996.0,17472713.0,False,False
21,2024,,1928898.0,1670154.0,1583206.0,1744966.0,1425097.0,True,False
22,2021,0.0,0.0,0.0,14047540.0,15479806.0,15388964.0,False,False
23,2024,,5422682.0,5715377.0,5385565.0,5301066.0,5336831.0,True,False
24,2022,0.0,0.0,23684584.0,21053451.0,20106194.0,1969345.0,False,False
25,2020,0.0,0.0,0.0,0.0,14180173.0,15953169.0,False,False
26,2024,,,,,,,True,True
27,2020,0.0,0.0,0.0,0.0,35733063.0,37619624.0,False,False
28,2021,,,,,,,True,True
29,2022,0.0,0.0,10860257.0,13175412.0,12939075.0,12360679.0,False,False
30,2023,0.0,2095463.0,2323787.0,1988890.0,1506637.0,1470738.0,False,False
31,2022,0.0,0.0,225622133.0,187318992.0,196403975.0,191278617.0,False,False
32,2024,,7806000.0,8740000.0,7888000.0,7850000.0,7005000.0,True,False
33,2020,,,,,,,True,True
34,2024,,9241315.0,13516952.0,10567009.0,10628189.0,10033782.0,True,False
35,2021,0.0,0.0,0.0,2014174.0,4583080.0,1998173.0,False,False
36,2021,,,,,,,True,True
37,2024,,13495858.0,14115871.0,9188957.0,7343381.0,5946947.0,True,False
38,2020,0.0,0.0,12871750.0,9313687.0,9621706.0,9607790.0,False,False
39,2023,0.0,15081912.0,14168358.0,12494454.0,12164746.0,13047759.0,False,False
40,2023,,,,,,,True,True
41,2024,,50772437.0,57407928.0,46617036.0,46264055.0,24807417.0,True,False
42,2022,0.0,0.0,3983198.0,6276219.0,10324429.0,10453377.0,False,False
43,2022,0.0,0.0,7215335.0,6087055.0,4625250.0,4382400.0,False,False
44,2024,,154117.0,154116.0,122863.0,133928.0,114162.0,True,False
45,2024,,,,,,,True,True
46,2022,0.0,0.0,1087348.0,1108981.0,1091879.0,1120476.0,False,False
47,2024,,40115923.0,44047118.0,38815266.0,44960904.0,44730531.0,True,False
48,2022,0.0,0.0,164885128.0,145646092.0,162149152.0,171782269.0,False,False
49,2020,,,,,,,True,True
50,2024,,,,,,,True,True
51,2024,,,,,,,True,True
52,2025,,,,,,,True,True
53,2024,,,,,,,True,True
54,2022,,,,,,,True,True
55,2021,0.0,0.0,0.0,3157250.0,3450244.0,3281329.0,False,False
56,2024,,19155677.0,23307341.0,20070284.0,19813990.0,22197101.0,True,False
57,2024,,,,,,,True,True
58,2024,,50831353.0,53984787.0,49403369.0,53117638.0,56701074.0,True,False
59,2024,,13286529.0,17070850.0,12615824.0,9010533.0,1130654.0,True,False
60,2024,,28778328.0,33185965.0,27521760.0,27331124.0,37184815.0,True,False
61,2024,,19100262.0,19431518.0,18753406.0,19545720.0,19548765.0,True,False
62,2025,,,,,,,True,True
63,2024,,,,,,,True,True
64,2025,,,,,,,True,True
65,2025,,,,,,,True,True
