state,state_abbr,region,births,total_population,birth_rate,female_population,fertility_rate,percent_of_total_births,region_births,region_population,region_birth_rate,region_female_population,region_fertility_rate,region_percent_of_total_births,unemployment_rate,per_capita_personal_income_2018,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,per_capita_personal_income_2022,per_capita_personal_income_2023,per_capita_personal_income_2024,high_school_acgr,two_year_student_share_2019,four_year_student_share_2019,two_year_student_share_2020,four_year_student_share_2020,two_year_student_share_2021,four_year_student_share_2021,two_year_student_share_2022,four_year_student_share_2022,two_year_student_share_2023,four_year_student_share_2023,two_year_student_share_2024,four_year_student_share_2024,four_year_appropriations_per_fte_2019,two_year_appropriations_per_fte_2019,four_year_net_tuition_revenue_per_fte_2019,two_year_net_tuition_revenue_per_fte_2019,four_year_appropriations_per_fte_2020,two_year_appropriations_per_fte_2020,four_year_net_tuition_revenue_per_fte_2020,two_year_net_tuition_revenue_per_fte_2020,four_year_appropriations_per_fte_2021,two_year_appropriations_per_fte_2021,four_year_net_tuition_revenue_per_fte_2021,two_year_net_tuition_revenue_per_fte_2021,four_year_appropriations_per_fte_2022,two_year_appropriations_per_fte_2022,four_year_net_tuition_revenue_per_fte_2022,two_year_net_tuition_revenue_per_fte_2022,four_year_appropriations_per_fte_2023,two_year_appropriations_per_fte_2023,four_year_net_tuition_revenue_per_fte_2023,two_year_net_tuition_revenue_per_fte_2023,four_year_appropriations_per_fte_2024,two_year_appropriations_per_fte_2024,four_year_net_tuition_revenue_per_fte_2024,two_year_net_tuition_revenue_per_fte_2024,population_18_to_24_yo_2018,population_18_to_24_yo_highschool_grad_2018,population_25_plus_yo_2018,population_25_plus_yo_highschool_grad_2018,population_18_to_24_yo_some_college_or_higher_2018,population_25_plus_yo_some_college_or_higher_2018,population_18_to_24_yo_2019,population_18_to_24_yo_highschool_grad_2019,population_25_plus_yo_2019,population_25_plus_yo_highschool_grad_2019,population_18_to_24_yo_some_college_or_higher_2019,population_25_plus_yo_some_college_or_higher_2019,population_18_to_24_yo_2020,population_18_to_24_yo_highschool_grad_2020,population_25_plus_yo_2020,population_25_plus_yo_highschool_grad_2020,population_18_to_24_yo_some_college_or_higher_2020,population_25_plus_yo_some_college_or_higher_2020,population_18_to_24_yo_2021,population_18_to_24_yo_highschool_grad_2021,population_25_plus_yo_2021,population_25_plus_yo_highschool_grad_2021,population_18_to_24_yo_some_college_or_higher_2021,population_25_plus_yo_some_college_or_higher_2021,population_18_to_24_yo_2022,population_18_to_24_yo_highschool_grad_2022,population_25_plus_yo_2022,population_25_plus_yo_highschool_grad_2022,population_18_to_24_yo_some_college_or_higher_2022,population_25_plus_yo_some_college_or_higher_2022,population_18_to_24_yo_2023,population_18_to_24_yo_highschool_grad_2023,population_25_plus_yo_2023,population_25_plus_yo_highschool_grad_2023,population_18_to_24_yo_some_college_or_higher_2023,population_25_plus_yo_some_college_or_higher_2023
Alabama,AL,South,348084.0,29935229.0,11.63,5816314.0,59.85,1.58,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.3,41938.0,43372.0,47828.0,53279.0,52798.0,54869.0,57551.0,88.0,0.449355419687467,0.749527133971276,0.40892138396583,0.740036721884276,0.40200499522242,0.746187040966246,0.368463403407396,0.723433365567895,0.221044430847254,0.631661296022285,0.31412263950876,0.65801790975433,6066.658096665156,6307.824433274862,15348.66142105446,4745.989070300904,6374.18191735988,7998.695256851522,15579.25920496386,5177.320111906646,6445.357921569997,7878.70058942893,16060.97073715822,5064.376306889554,7512.197739827782,9138.238125911752,16827.45486146168,5115.434950646989,10843.06866955822,17754.00162959779,16946.399535186,4915.60264675334,9945.415185280084,11544.7214303399,17456.85934502746,5108.510168712199,465929,152557,3299958,1020172,248276,1809743,458997,152515,3320877,1022839,246425,1839116,456268,155009,3344006,1014342,245245,1890717,461491,161085,3413803,1041209,243960,1942547,488930,173641,3428520,1041725,256989,1965615,477950,172657,3448302,1046374,250114,1992547
Alaska,AK,West,57118.0,4399803.0,12.98,867023.0,65.88,0.26,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,4.7,59869.0,60820.0,64390.0,68068.0,70276.0,72593.0,76299.0,78.0,,0.231684573536617,,0.234743177589781,,0.226669433784304,,0.221730917720112,,0.203613800568357,,0.198561178133664,19014.17965432689,,5733.702529753005,,19596.40542156667,,6011.213939273138,,21209.37739282335,,6216.639784554916,,22189.57001607717,,6321.867122186495,,24291.80530020704,,6210.738964803312,,24120.86258278146,,5976.08546199937,,74651,30003,477727,133851,34734,309116,72088,29568,480586,134582,33093,311628,70195,29696,483436,137486,31713,312774,68835,30264,484382,137873,29856,313840,69612,32205,485871,140126,28690,314056,67610,32416,487903,141206,26559,314843
Arizona,AZ,West,471604.0,43938621.0,10.73,8478149.0,55.63,2.14,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,4.1,45981.0,48336.0,54111.0,59129.0,60255.0,62804.0,64904.0,77.0,0.178144522455243,0.814888851598464,0.170073180373415,0.800114304339905,0.137095749112127,0.788658624973944,0.140388232719166,0.798379690847996,0.146485692373807,0.762930015737745,0.165578089518508,0.789324329570205,3410.085628555285,9145.873169496277,12506.61660239497,1982.449777038089,3594.467126927299,9723.312507432376,12177.8208061058,1992.554816637547,3772.939047495263,11595.44009289102,11972.36866442379,1842.250219748022,3700.430324783502,12525.09457755359,12159.57229796348,2045.546558704453,4582.305313466404,12384.23880401428,12709.55861681192,2125.463837594051,4316.179857314759,11293.92298778519,13635.66770473259,2241.10389240326,678970,220205,4633932,1112551,349998,2908379,682423,225959,4732532,1129129,350241,2994766,688363,235765,4846056,1151988,351594,3106149,672761,231630,4792007,1125498,342627,3106049,699860,244156,4878959,1151380,354816,3176147,682762,244252,4990633,1171693,342534,3274412
Arkansas,AR,South,215533.0,18201411.0,11.84,3505626.0,61.48,0.98,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.7,43670.0,44263.0,49385.0,54909.0,57031.0,57880.0,60549.0,88.0,0.375025620447116,0.536976408355832,0.385269972236897,0.603571769643453,0.359478589318766,0.545826953038605,0.337156737792375,0.506006635553246,0.334183322497726,0.553988158725735,0.353840336308656,0.63374429500102,6670.639294869458,6810.030354949246,6786.183316932123,3763.539147863193,6901.542471210707,7047.894064223159,6992.447818238406,3839.18971780733,7317.006940764389,7861.784134911157,7048.856066383177,3911.720406760033,8107.816151361329,8394.481550782128,7282.525189531281,3955.121772322431,7394.071753141072,8568.791268656716,7915.223175574507,4027.962835820896,7303.299386705187,8384.027835718909,8678.802237765782,4197.567035891534,285421,95970,1999307,681223,152337,1042055,283463,96685,2011639,684659,151080,1056812,282319,98004,2026722,686812,149246,1079550,279234,101097,2021290,688732,145149,1083837,289554,106460,2031847,693875,148473,1098317,282993,105180,2043779,702778,144167,1107144
California,CA,West,2561478.0,235669717.0,10.87,48016877.0,53.35,11.6,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,5.3,62167.0,65254.0,72352.0,78893.0,78356.0,81691.0,86834.0,87.0,0.0663481794444579,0.437179018650531,0.0639342019242999,0.430512319495541,0.0564649569981763,0.394138599176513,0.0473274734193507,0.364914104716416,0.0532828296454984,0.349392279302006,0.0525881847774574,0.33714038729625,10388.09365276867,10801.55757999399,8069.096105618215,767.5920132310735,10830.86579903077,10710.96860767353,8187.747192626317,731.5695447644778,10763.09820438927,13235.28652128942,7001.852970516516,792.0531302213708,12469.80164414525,16038.02895562432,7165.025293047439,796.7474320063013,13669.13700056634,14445.00935271975,7340.661324454512,812.9893453610767,14394.88282684835,13381.42160919109,7321.454314485081,742.765353843413,3856220,1152682,26218885,5391120,2254937,16352200,3789808,1151505,26471543,5423462,2220041,16629406,3724239,1164734,26665143,5431385,2176408,16947220,3665851,1177389,26797070,5477154,2123689,17083881,3738836,1238968,26842698,5485499,2135783,17171489,3572575,1217568,26941198,5496195,2010668,17295857
Colorado,CO,West,374074.0,34791624.0,10.75,7170448.0,52.17,1.69,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,4.8,59236.0,61711.0,65940.0,72734.0,78441.0,80840.0,83374.0,82.0,0.416794527808882,0.771153235427312,0.386185298853347,0.758147276459271,0.375562393022233,0.738733684606407,0.322397292253977,0.752779656480837,0.355283769985106,0.720031888447016,0.335678193072611,0.711210404540264,4270.798683304109,6216.190785714286,14391.46508642285,4442.472553571429,4765.077100711626,6363.43507717303,14937.31463154091,4003.594362307068,5304.151866256364,6913.449402813412,14997.55391723029,4158.032079978767,5529.038691292175,8386.89722675367,16835.78215066092,3990.410494834149,6859.550513440048,6884.995050464129,17641.63455149502,3794.114191605164,7172.355489546812,8266.033987241923,17663.5652025711,4176.781980931477,522730,160510,3748592,803431,296595,2622443,523765,165202,3825579,817452,293150,2692376,525141,168817,3900754,827081,291435,2764888,523401,171013,3937040,810976,288458,2825444,546720,181231,3982760,814208,299311,2871468,531358,179621,4038534,811023,289341,2935065
Connecticut,CT,Northeast,208004.0,21543936.0,9.65,4081181.0,50.97,0.94,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,3.7,73045.0,74641.0,77771.0,83235.0,86626.0,90596.0,94192.0,89.0,0.387214893542755,0.584039860504034,0.381666697378375,0.589697788206987,0.313414960514619,0.517905902235205,0.27768714394068,0.482622701979584,0.206889397298674,0.446280718445669,0.274693624784261,0.464704461013591,11447.20476173877,10386.31045838222,16072.75129849758,6563.04152314622,11932.91907208305,11039.45942128415,17150.32427660964,6814.114653537269,13666.11897958416,16197.11643261887,14681.29087867053,7393.721557033752,17590.87216645991,17156.60150411503,16409.21294312244,6595.712136978526,20497.1594900904,23579.98070141999,16520.08042352312,6151.031115982083,18175.48200261178,18354.70430256127,15778.62498850448,6951.435185185185,350171,101261,2478708,670519,212178,1572363,348146,100369,2483095,666828,211794,1583604,345760,101588,2489205,655381,210182,1608274,345702,104321,2515137,656949,208107,1633167,347650,103577,2520790,650788,212800,1649926,331497,103163,2532853,647094,197501,1666210
Delaware,DE,South,63300.0,5981414.0,10.58,1108192.0,57.12,0.29,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.9,53504.0,53917.0,57283.0,62987.0,65680.0,67135.0,70141.0,88.0,0.389963299956236,0.817222732004257,0.369392164062391,0.808075367422993,0.334772064692615,0.776929843756864,0.316733596975872,0.776857038330026,0.314650067314929,0.812122253818931,0.308601455705769,0.813941239603429,5662.06583345444,9145.408507765023,24037.79439761662,5846.162502813414,6445.061416105158,10171.84997622444,25907.76118413786,5958.380884450785,7023.048848619418,10741.87555974546,23465.53085270208,5405.786000471365,7610.351511715798,12084.04688752338,25455.43854875283,5601.656425327277,5982.647924384586,12608.96428078886,24597.20555343974,5788.884291821818,6116.984856219159,11984.04837683004,25543.15705291816,5349.005728835137,86090,28436,659979,208557,45513,383940,84244,27742,669320,209449,45043,393055,83602,28782,679870,210998,43865,405029,83629,28876,690618,209928,44410,418902,86569,30493,700364,208129,45022,430891,85034,30586,710442,206192,43776,443106
District of Columbia,DC,South,51796.0,4141845.0,12.51,1112736.0,46.55,0.23,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,5.8,83549.0,84046.0,92435.0,99053.0,101891.0,106379.0,108848.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75780,20186,486981,83572,48696,357604,74637,20271,494116,83185,48570,366081,73940,20176,501986,83347,48302,377828,70406,18130,487726,75562,47355,374230,61935,15983,484596,72816,41038,376403,61998,14162,484406,70322,42943,379433
Florida,FL,South,1313318.0,131147051.0,10.01,23772622.0,55.24,5.95,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.7,52049.0,54246.0,58119.0,64409.0,65874.0,68695.0,71040.0,87.0,0.365265363092864,0.183260835102151,0.353393745166315,0.161530600512667,0.336059415085629,0.153180119942194,0.315825186552461,0.160106665316133,0.305363551063741,0.14033862098108,0.287770043055621,0.121996783428588,11133.8414518093,4487.681235610252,2498.223631296921,2582.487894401814,11369.25743044058,4632.32749582921,2190.280266930501,2531.734808239751,11426.55832315377,5030.911570806093,2066.934912236223,2546.440507249109,12119.57517177363,5631.63049918613,2310.322853712429,2599.643713918109,12998.78752718869,6108.412324566665,2122.035443855356,2685.270088616326,15162.56217877338,6741.36170781805,2106.807559965089,2723.785948621393,1762860,537561,14686727,4231678,951704,8685560,1753429,540717,14965745,4276237,948687,8921925,1747154,553823,15255326,4308542,941986,9194986,1729159,562927,15349290,4282929,923967,9383856,1819253,603531,15579847,4316799,974822,9592176,1773216,598276,15850299,4346402,947717,9860460
